Date,Description,Debit,Credit,Balance
Your Payment Will Be DebitedOn08/26/2019,,0.0,0.0,0.0
06/28/2019,Previous balance,0.0,0.0,14365.21
07/31/2019,Ending balance,0.0,0.0,6682.22
06/28/2019,Previous Balance,0.0,0.0,445.28
07/01/2019,Deposit = 131,0.0,209.54,654.82
07/01/2019,Deposit = 131,0.0,389.77,1044.59
07/01/2019,Deposit = 131,0.0,285.58,1330.17
07/01/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,21.7,0.0,1308.47
07/02/2019,Deposit = 131,0.0,76.02,1384.49
07/03/2019,Deposit = 131,0.0,74.0,1458.49
07/03/2019,DEPOSIT CORRECTION CREDIT,0.0,13.04,1471.53
07/03/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,714.56,0.0,756.97
07/05/2019,Deposit = 131,0.0,97.8,854.77
07/05/2019,Deposit = 131,0.0,132.9,987.67
07/08/2019,Deposit = 131,0.0,141.19,1128.86
07/08/2019,Deposit = 131,0.0,208.45,1337.31
07/08/2019,Deposit = 131,0.0,296.76,1634.07
07/09/2019,Deposit = 131,0.0,130.28,1764.35
07/10/2019,Deposit = 131,0.0,238.74,2003.09
07/11/2019,Deposit = 131,0.0,305.73,2308.82
07/12/2019,Deposit = 131,0.0,86.96,2395.78
07/12/2019,DEPOSIT CORRECTION CREDIT,0.0,1.0,2396.78
07/15/2019,Deposit = 131,0.0,406.35,2803.13
07/15/2019,Deposit = 131,0.0,547.09,3350.22
07/15/2019,Deposit = 131,0.0,536.59,3886.81
07/15/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,1845.8,0.0,2041.01
07/16/2019,Deposit = 131,0.0,94.48,2135.49
07/17/2019,Deposit = 131,0.0,228.08,2363.57
07/17/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,950.82,0.0,1412.75
07/18/2019,Deposit = 131,0.0,108.62,1521.37
07/18/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,547.09,0.0,974.28
07/19/2019,Deposit = 131,0.0,456.09,1430.37
07/19/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,536.59,0.0,893.78
07/22/2019,Deposit = 131,0.0,280.22,1174.0
07/22/2019,Deposit = 131,0.0,108.59,1282.59
07/22/2019,Deposit = 131,0.0,213.69,1496.28
07/23/2019,Deposit = 131,0.0,43.4,1539.68
07/24/2019,Deposit = 131,0.0,250.82,1790.5
07/24/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,94.48,0.0,1696.02
07/25/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,108.59,0.0,1587.43
07/25/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,1073.01,0.0,514.42
07/26/2019,Deposit = 131,0.0,162.89,677.31
07/29/2019,Deposit = 131,0.0,538.79,1216.1
07/29/2019,Deposit = 131,0.0,515.31,1731.41
07/29/2019,Deposit = 131,0.0,170.55,1901.96
07/29/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,213.69,0.0,1688.27
07/30/2019,Deposit = 131,0.0,21.7,1709.97
07/31/2019,Deposit = 131,0.0,241.75,1951.72
07/31/2019,C&J CLARK RETAIL ACHDEBIT SETTLEMENT STORE,995.9,0.0,955.82
07/31/2019,SERVICE CHARGE,10.0,0.0,945.82
07/31/2019,PAPER STATEMENT CHARGE,3.0,0.0,942.82
07/08/19,4416 4419* 07/08/19 4420 07/08/19,266.0,0.0,69.13
07/12/19,4421 4423 07/19/19 4451* 07/25/19,114.0,0.0,150.0
07/12/19,4422 4424 07/16/19,25.0,0.0,1046.66
07/01/2019,07/15/2019 07/24/2019,11373.85,0.0,7285.72
07/03/2019,07/16/2019 07/25/2019,10120.07,0.0,9428.29
07/05/2019,07/17/2019 07/26/2019,7079.35,0.0,8428.29
07/08/2019,07/18/2019 07/29/2019,7108.96,0.0,7187.52
07/10/2019,07/19/2019 07/30/2019,7935.34,0.0,6687.52
07/11/2019,07/22/2019 07/31/2019,7318.61,0.0,6682.22
07/12/2019,07/23/2019,2886.23,0.0,7292.22
07/22/2019,- -,0.0,0.0,0.0
07/01/2019,000% 21,926.18,0.0,9.59
07/22/2019,000% 10,913.01,0.0,4.5
